gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
dunda,TRUE,,@1は@2を@3〈者〉に与える［贈る、授ける］,与える、贈る、授ける,@1 [donor] gives/donates gift/present @2 to recipient/beneficiary @3 [without payment/exchange].,,,,,,,-dud-   ,-du'a-,支払いや返済の無い授与行為。 x2 は物だけでなく事や性質も。 ,,,,,,,,,,,,
dunja,TRUE,,@1は@2〈温度〉@3〈圧力〉で凍る［凝固する、固まる］；@1は凍っている,凍る、凝固、固まる,@1 freezes/jells/solidifies at temperature @2 and pressure @3.,,,,,,,-duj-,,,,,,,,,,,,,,
dunku,TRUE,,@1は@2《こと》について苦悩［苦悶］する,苦悩、苦悶,@1 is anguished/distressed/emotionally wrought/stressed by @2.,,,,,,,-duk-   ,-du'u-,強い感情的苦痛を表します。,,,,,,,FF,こと,こと,-,-,-
dunli,TRUE,,@1は@2と@3《属性》に関して同等である,同等,@1 is equal/congruent to/as much as @2 in property/dimension/quantity @3.,,,,,,,-dun-   ,-du'i-,特に性質／数量における等しさを表し、アイデンティティの同一は含意されない。同一性は{du},,,,,,,,,,,,
dunra,TRUE,季節,@1は@2〈年〉@3〈所〉の冬季である,冬、冬季,@1 is winter/wintertime [cold season] of year @2 at location @3.,冬、冬季,,,,,,-dur-,,,,,,,づんづん雪が積もる冬,citsi,DND,もの,数,もの,-,-
dutso,FALSE,,"@1is clockwise/right-turn-direction of[/to]@2along/following track@3[path] in frame of reference@4(where the axis is within the region defined by the track as the boundary, as viewed from and defined by view(er) x/4; see notes); @1is locally to the right of x/2, according to x/4, constrained along x/3; @1is along a right turn from@2along path x/3, as viewed in frame x/4.",,"@1 is clockwise/right-turn-direction of[/to] @2 along/following track @3 [path] in frame of reference @4 (where the axis is within the region defined by the track as the boundary, as viewed from and defined by view(er) @4; see notes); @1 is locally to the right of @2, according to @4, constrained along @3; @1 is along a right turn from @2 along path @3, as viewed in frame @4.",,,,,,,,,"Angular/curling direction: clockwise. he orientation of the path determines x4 but does not factor into consideration for x3. Further glosses: clockwise, locally rightward, right-turning (with no bulk translation) in a way that would be characterized as ""negative"" by the right-hand rule (aligned with and in the direction of a basis vector, at least for a given component). x1 is left-handedly/clockwise(ly) oriented relative to x2 on/along x3 in frame of reference x4.  x1 is left-handed (one sense) from x2 [more accurately: moving from x2 to x1 requires a(n imaginary) motion that is left-handed about/along x3 as seen in frame/orientation/perspective x4]. x1 is to the path-following right of x2 (where the path is connected; as such, x1 is also be to the path-following left of x2, although there is an implication that the former is the smaller (or equal-length) path). See also: {zucna}, {du'ei} (left-handed vectorial cross product), {du'oi} (modal). Proposed short rafsi: -tso-.",,,,,,,,,,,,
dzena,TRUE,,@1〈者〉は@2〈者〉・@3〈関係〉の先祖［先人］；  @1は先駆者,,@1 is an elder/ancestor of @2 by bond/tie/degree @3; @1's generation precedes @2's parents.,,,,,,,-dze-,,「先輩」も。 ,,,,,,,,,,,,
dzipo,TRUE,地域,@1は@2《属性》に関して南極的［らしい、っぽい、風］,南極,@1 reflects Antarctican culture/nationality/geography in aspect @2.,,,,,,,-zip-   ,-zi'o-,,,,,,,,DC,D,C,-,-,-
facki,TRUE,,@1は@2《命題》を@3〈題目〉について発見する；@1は@3《もの》を見つける［探し当てる］,,@1 discovers/finds out @2 (du'u) about subject/object @3; @1 finds (fi) @3 (object).,,,,,,,-fak-   ,-fa'i-,「pu facki lo du'u lo mi mamta cu zvati la kordoban.／私の母はコルドバに居るということがわかった」 ,,,,,,,,,,,,
fadni,TRUE,,@1は@2《属性》@3《集合》において平凡［通常、普通］,平凡、通常、普通,@1 [member] is ordinary/common/typical/usual in property @2 (ka) among members of @3 (set).,,,,,,,-fad-,,「ra fadni lo ni clani lo'i se gugdenulu／彼の身長はオランダ人としては普通だ」 ,,,,,,,,,,,,
fagri,TRUE,,@1は@2〈燃料〉@3〈酸化料〉による火［炎］である,火、炎、火炎,@1 is a fire/flame in fuel @2 burning-in/reacting-with oxidizer @3 (default air/oxygen).,,,,,,,-fag-,,「o'i fagri snuti／火の用心」 ,,,,,,,,,,,,
falnu,TRUE,,@1は@2を集めて@3〈乗り物〉が航行［帆走］するための帆である,帆,@1 is a sail for gathering propelling material @2 on vehicle/motor @3.,,,,,,,-fan-,,@2は空気・太陽風など。 「lo se blozeile'a cu te falnu／海賊船が帆走する」 ,,,,,,,,,,,,
famti,TRUE,,@1〈者〉は@2〈者〉@3〈血縁関係〉のおじ［おば］である,,@1 is an aunt/uncle of @2 by bond/tie @3; @1 is an associated member of @2's parent's generation.,,,,,,,,,「lo mi famti ma kau zvati sei na djuno／[おじ／おば]が行方不明だ」 ,,,,,,,,,,,,
fancu,TRUE,,@1は@2〈変域・定義域〉@3〈値域〉@4〈式・表現〉の関数,関数,@1 is a function/single-valued mapping from domain @2 to range @3 defined by expression/rule @4.,,,,,,,,,,,,,,,,,,,,,
fange,TRUE,,@1は@2にたいして@3《属性》の点で異質［外来、別世界的、風変わり］である,異質、外来、別世界、風変わり、異世界,@1 is foreign/alien/[exotic]/unfamiliar to @2 in property @3 (ka).,,,,,,,,,,,,,,,,,,,,,
fanmo,TRUE,,@1は@2《もの・過程》の終わり,終わり,@1 is an end/finish/termination of thing/process @2; [not necessarily implying completeness].,,,,,,,-fam-   ,-fa'o-,終了状態全般。達成／完了しているとはかぎらない。 ,,,,,,,,,,,,
fanri,TRUE,,@1は@2を@3〈材料〉から製造する工場［鋳造工場、工業プラント、製作所］,工場、鋳造工場、工業プラント、製作所,@1 is a factory/foundry/industrial plant/mill producing @2 from materials @3.,,,,,,,,,,,,,,,,,,,,,
fanta,TRUE,,@1は@2《こと》の発生を防ぐ［抑える］,防ぐ、抑える,@1 prevents/keeps/stops/restrains/constrains event @2 from occurring.,防人,,,,,,,,,,,,,ファンたくさん,,FF,こと,こと,-,-,-
fanva,TRUE,,@1は@2《文字列》を@3〈言語〉に@4〈言語〉から翻訳し@5《文字列》を生む,翻訳,@1 translates text/utterance @2 to language @3 from language @4 with translation result @5.,,,,,,,,,,,,,,,,,,,,,
fanza,TRUE,,@1《こと》は@2の気に障る［をいらいらさせる］； @2は @1でを苛つく；@1は邪魔である,気に障る、気に触る、邪魔、苛つく、イライラ,@1 (event) annoys/irritates/bothers/distracts @2.,,,,,,,-faz-,,,,,,,,,,,,,,
fapro,TRUE,,@1は@2〈者・物・力〉に@3《こと》について対抗する,対抗,@1 opposes/balances/contends against opponent(s) @2 (person/force ind./mass) about @3 (abstract).,,,,,,,-fap-   ,-pro-,,,,,,,,,,,,,
farka,FALSE,,@1is an orientation of/on (base) object@2with features/characteristics/definition x/3;@2is an unoriented version of an object endowed with/given orientation/direction/face x/1. ,,@1 is an orientation of/on (base) object @2 with features/characteristics/definition @3; @2 is an unoriented version of an object endowed with/given orientation/direction/face @1. ,,,,,,,,,"Preferred to {fardu} because of gismu similarity-conflict and the fact that {ckaji} makes more etymological sense than {dunda} does. The ""giving"" is nonagentive. See also: {xansa}; equivalent zi'evla version: {farnadu}.",,,,,,,,,,,,
farlu,TRUE,,@1は@2に@3から@4〈照合枠・重力井戸〉において落ちる［降る］,落ちる、降る,@1 falls/drops to @2 from @3 in gravity well/frame of reference @4.,,,,,,,-fal-   ,-fa'u-,"「落とす」は {falcru}, {falri'a}. ",,,,,,,,,,,,
farna,TRUE,位置関係、方向,@1は@2《もの・こと》を@3から見たときの向き［方向、方角］である；@3から見ると@2は@1のほうにある［いる］,向き、方向、方角,@1 is the direction of @2 (object/event) from origin/in frame of reference @3.,,,,,,,-far-   ,-fa'a-,,,,,,ファーをなくす方向、fan(方)、direction,,D(D+F)D,もの,もの・こと,もの,,
farvi,TRUE,,@1は@2に@3から@4（過程）を通じて発達［発展、進化］する,発達、発展、進化,@1 develops/evolves towards/into @2 from @3 through stages @4.,,,,,,,-fav-,,,,,,,,,,,,,,
fasnu,TRUE,,@1《こと》はこと［出来事、事件、事象、現象］；@1は起こる［生じる、発生する］,こと、出来事、事件、事象、現象、起こる、生じる、発生する,@1 (event) is an event that happens/occurs/takes place; @1 is an incident/happening/occurrence.,,,,,,,-fau-,,,,,,,,,F,こと,,,,
fatci,TRUE,,@1《命題》は事実［現実］である,事実、現実,"@1 (du'u) is a fact/reality/truth/actuality, in the absolute.",,,,,,,-fac-,,,,,,,,,B,命題,-,-,-,-
fatne,TRUE,,@1〈順序〉は@2〈順序〉と逆である；@1《もの》は@2《もの》の逆さまである,逆、逆さ、逆さま,@1 [sequence] is in reverse order from @2 [sequence]; @1 (object) is inverted from @2 (object).,,,,,,,-fat-   ,-fa'e-,,,,,,,,,,,,,
fatri,TRUE,,@1は@2〈受け手〉に@3〈分け前〉で分配［配当される、割り当てられる］,分配、配当、割り当てる,@1 is distributed/allotted/allocated/shared among @2 with shares/portions @3; (@2/@3 fa'u).,,,,,,,-fai-,,「配布」「配給」「配当」も。 ,,,,,,,,,,,,
febvi,TRUE,,@1は@2〈温度〉@3〈圧力〉において沸騰［蒸発］する,沸騰、蒸発,@1 boils/evaporates at temperature @2 and pressure @3.,,,,,,,-feb-,,,,,,,,,,,,,,
fegli,FALSE,,@1is ugly to@2in aspect x/3,,@1 is ugly to @2 in aspect @3,,,,,,,,,See {melbi}.,,,,,,,,,,,,
femti,TRUE,SI接頭辞,@1は@3［≜単位］《属性》においてフェムト ［10⁻¹⁵］個（分）の@2である,フェムト、須臾、f、0.000000000000001,@1 is 10^{-15} of @2 in dimension/aspect @3 (default is units).,,,,,,,-fem-,,,,,,,,,,,,,,
fendi,TRUE,,@1〈者〉は@2を@3〈部分・個〉に@4〈方法・区分〉によって分ける,分ける,@1 (agent) divides/partitions/separates @2 into sections/parts/ind. @3 by method/partition @4.,,,,,,,-fed-,,,,,,,,,,,,,,
fengu,TRUE,,@1は@2〈者〉にたいして@3《こと・属性》について憤慨して［怒って］いる,怒る、憤慨,@1 is angry/mad at @2 for @3 (action/state/property).,,,,,,,-feg-   ,-fe'u-,,,,,,,,,,,,,
fenki,TRUE,,@1《こと・行為》は@2〈観点〉で狂気の沙汰である,狂気、狂気の沙汰,@1 (action/event) is crazy/insane/mad/frantic/in a frenzy (one sense) by standard @2.,,,,,,,-fek-,,@1を人とする際は「jai」もしくは「tu'a」を加える。,,,,,,,,,,,,
fenra,TRUE,,@1は@2の割れ目［裂け目］である,割れ目、裂け目,@1 is a crack/fissure/pass/cleft/ravine/chasm/[defect/flaw] [shape/form] in @2.,,,,,,,-fer-   ,-fe'a-,「亀裂」「谷間」「峡谷」「山峡」も。 ,,,,,,,,,,,,
fenso,TRUE,,@1は@2《集合》を@3（縫い具）・@4（縫い糸）で縫い合わせる,,"@1 sews/stitches/sutures materials @2 (ind./set) together with tool(s) @3, using filament @4.",,,,,,,-fen-   ,-fe'o-,,,,,,,,,,,,,
fepni,TRUE,,@1は@2《数量》@3〈通貨体系〉の下位単位／銭／セント／コペック,,"@1 is measured in kopeck/cent money-subunits as @2 [quantity], in monetary system @3.",,,,,,,-fep-   ,-fei-,,,,,,,,,,,,,
fepri,TRUE,身体、部位,@1は@2〈本体〉の肺［呼吸器官］である,肺、呼吸器,@1 is a/the lung [body-part] of @2; [metaphor: breathing/respiratory apparatus/bellows].,,,,,,,,,,,,,,,,DD,もの,もの,-,-,-
ferti,TRUE,,@1は@2の成長［発達］に関して肥沃［豊穣、多産、多作］である,,@1 is fertile/conducive for supporting the growth/development of @2; @1 is fruitful/prolific.,,,,,,,-fre-,,「彼女（x1）は推理小説（ x2 ）の多作家だ」。 ,,,,,,,,,,,,
festi,TRUE,,@1は@2《こと・動作》の残り物［ごみ、くず］,残り物、ごみ、くず,@1(s) is/are waste product(s) [left to waste] by @2 (event/activity).,,,,,,,-fes-,,排出する行為は「vikmi」。 ,,,,,,,,,,,,
fetsi,TRUE,,@1は@2〈生物種〉の@3〈体現性質〉に基づく女性［雌］である；@1は女性的である,女性、雌,@1 is a female/doe of species @2 evidencing feminine trait(s) @3 (ka); @1 is feminine.,,,,,,,-fet-   ,-fe'i-,,,,,,,,,,,,,
figre,TRUE,生物、植物,@1は@2〈種類〉のイチジク属の植物である,イチジク、無花果,@1 is a fig [fruit/tree] of species/strain @2.,,,,,,,-fig-,,具体的にはビワ、イチジク、ベンジャミンなどがあります。,,,,,,2,DD,もの,もの,-,-,-
filso,TRUE,地域,@1は@2《属性》に関してパレスチナ的［らしい、っぽい、風］；@1は@2《属性》に関してパレスチナ系の言語［文化、民族、国民性、地理など］を反映している、満たしている,パレスチナ,@1 reflects Palestinian culture/nationality in aspect @2.,,,,,,,-fis-,,,,,,,,,DC,D,C,-,-,-
finpe,TRUE,生物、動物,@1は@2〈種類〉の魚である,魚,"@1 is a fish of species @2 [metaphorical extension to sharks, non-fish aquatic vertebrates].",,,,,,,-fip-   ,-fi'e-,脊椎動物亜門のうち、四肢動物以外のもの全てを表します。,,,,,,2,DD,もの,もの,-,-,-
finti,TRUE,,@1は@2を@3〈目的・機能〉のために@4〈既存要素〉から創る［発明する、著する］；@1は創作的,作る、創る、発明する、著する、創作的,@1 invents/creates/composes/authors @2 for function/purpose @3 from existing elements/ideas @4.,,,,,,,-fin-   ,-fi'i-,,,,,,,,,,,,,
firca,FALSE,,@1は@2〈者〉と、@3〈行為〉をしていちゃつく［浮気する］,いちゃつく、浮気,@1 flirts with @2 by doing @3,,,,,,,,,,,,,,,,,,,,,
fisli,FALSE,,@1is physical/actual/pertains to physics in aspect@2(ka) of type@3by standard/in metaphysics@4,,@1 is physical/actual/pertains to physics in aspect @2 (ka) of type @3 by standard/in metaphysics @4 ,,,,,,,,,"Perhaps includes (but would not be limited to): material, bodily, tangible. x1 need not be a substance/matter; spacetime, physical quantities (such as energy), virtual particles, and even the rules of physics and some mathematical theorems could be considered to be physical. See also: {jikfi}, {termu'e}, {termu'eske}, {mairza'i}, {tifmu'eza'i}, {dacti}, {marji}, {xanri}, {fatci}, {menli}, {cinmo}, {cmaci}.",,,,,,,,,,,,
fizbu,FALSE,,@1is excited/feels excitement about@2(event/property),,@1 is excited/feels excitement about @2 (event/property),,,,,,,,,"See {ue'i}, {entuzi}",,,,,,,,,,,,
flaci,FALSE,,@1flashes,,@1 flashes,,,,,,,,,,,,,,,,,,,,,
flalu,TRUE,,@1は@2《こと》を@3（共同体）のために@4〈条件〉で@5〈者〉が制定した法律［条例］；@2は合法的,法律、条例、合法,@1 is a law specifying @2 (state/event) for community @3 under conditions @4 by lawgiver(s) @5.,,,,,,,-fla-,,x3は「国家」「州」「市」など。 ,,,,,,,,,,,,
flani,TRUE,,@1は（簧［した／リード］を用いない）木管楽器である,木管楽器、フルート、横笛、リコーダー,@1 is a flute/pipe/fife/recorder [flute-like/air-reed musical instrument].,,,,,,,,,「オカリナ」「尺八」「呼子笛（ホイッスル）」など ,,,,,,,,,,,,
flecu,TRUE,,@1は@2の／における、@3〈終点〉へ@4〈始点〉からの流れ； @2は流れる,,@1 is a current/flow/river of/in @2 flowing in direction to/towards @3 from direction/source @4.,,,,,,,-fle-,,,,,,,,,,,,,,
flese,FALSE,,"@1is philosophy about/of sub-field x/2, characterized by ideas/methodology x/3",,"@1 is philosophy about/of sub-field @2, characterized by ideas/methodology @3",,,,,,,,,"See {saske}, {filsofiia}. Proposed rafsi: -les- ; see {lespre}, {lespei}",,,,,,,,,,,,
fliba,TRUE,,@1は@2《こと》に失敗する；@1は@2を怠る,失敗、怠る,@1 fails at doing @2 (state/event); @1 is a failure at its role in @2.,,,,,,,-fli-,,@2 は達成されなかった［実現されなかった］ことを表します。,,,,,,,FF,こと,こと,-,-,-
flira,TRUE,身体、部位,@1は@2〈本体〉の顔である；@1は表情的である,顔,@1 is a/the face [head/body-part] of @2; (adjective:) @1 is facial.,,,,,,,-fir-,,,,,,,,,DD,もの,もの,-,-,-
foldi,TRUE,,@1は@2〈物質〉の地帯［地域］である,地帯、地域,@1 is a field [shape/form] of material @2; @1 is a broad uniform expanse of @2.,,,,,,,-flo-   ,-foi-,「森林地帯／ricfoi」「野原／sasfoi」など。 ,,,,,,,,,,,,
fonmo,TRUE,,@1は@2〈成分〉の泡である,泡,"@1 is a quantity of foam/froth/suds of material @2, with bubbles/vacuoles of material @3.",,,,,,,-fom-   ,-fo'o-,口から吹く「泡つばき」も。 ,,,,,,,,,,,,
fonxa,TRUE,,@1は@2〈システム・ネットワーク〉の電話端末［モデム］,電話、電話機、電話端末、モデム,@1 is a telephone transceiver/modem attached to system/network @2.,,,,,,,-fon-,,,,,,,,,,,,,,
forca,TRUE,,@1は@2〈目的〉@3〈分岐物・歯〉のフォーク［くま手、またぐわ］である,フォーク、くま手、またぐわ,@1 is a fork/fork-type tool/utensil for purpose @2 with tines/prongs @3 on base/support @4.,,,,,,,-fro-,,,,,,,,,,,,,,
forse,FALSE,,@1has physical force in@2(property of x/1),,@1 has physical force in @2 (property of @1),,,,,,,,,'ti forse lo neftoni be li pa' - 'this has a force of 1 Newton'. See also {neftoni},,,,,,,,,,,,
fraso,TRUE,地域,@1は@2《属性》に関してフランス［ガリア、ゴール］的［らしい、っぽい、風］；@1は@2《属性》に関してフランス［ガリア、ゴール］系の言語［文化、民族、国民性、地理など］を反映している、満たしている,フランス、ガリア、ゴール］,@1 reflects French/Gallic culture/nationality/language in aspect @2.,,,,,,,-fas-,,,,,,,,,DC,D,C,-,-,-
frati,TRUE,,@1は@2《動作・行為》によって@3〈刺激・要因〉に反応する［呼応する］,反応、呼応,@1 reacts/responds/answers with action @2 to stimulus @3 under conditions @4; @1 is responsive.,,,,,,,-fra-,,,,,,,,,,,,,,
fraxu,TRUE,,@1は@2を@3《こと》について許す［容赦する］,許す、容赦,@1 forgives @2 for event/state/activity @3.,,,,,,,-fax-,,,,,,,,,,,,,,
frica,TRUE,,@1は@2と@3《属性》に関して違う［異なる］,違う、異なる,@1 differs/is distinct from/contrasts with/is unlike @2 in property/dimension/quantity @3.,,,,,,,-fic-,,,,,,,,,,,,,,
friko,TRUE,地域,@1は@2《属性》に関してアフリカ的［らしい、っぽい、風］；@1は@2《属性》に関してアフリカ系の言語［文化、民族、国民性、地理など］を反映している、満たしている,アフリカ,@1 reflects African culture/nationality/geography in aspect @2.,,,,,,,-fi'o-,,,,,,,,,DC,D,C,-,-,-
frili,TRUE,,@1《こと》は@2〈者〉にとって@3〈条件〉において簡単／容易； @2は @1をた易くこなす,,@1 (action) is easy/simple/facile for @2 (agent) under conditions @3; @2 does @1 freely/easily.,,,,,,,-fil-,,,,,,,,,,,,,,
frinu,TRUE,,@1は@2〈分子〉@3〈分母〉の分数である,分数,"@1 is a fraction, with numerator @2, denominator @3 (@2/@3).",,,,,,,,,,,,,,,,,,,,,
friti,TRUE,,@1は@2《もの・こと》を@3に@4〈条件〉で進呈する／オファーする,,@1 offers/proffers @2 [offering] to @3 with conditions @4.,,,,,,,-fit-,,見返りを求めない進呈の場合、x4は「受託」となる。 ,,,,,,,,,,,,
frumu,TRUE,,@1は@2（者／事）に対してしかめつらをする／まゆを寄せる／難色を示す；  @1はしかめつら,,@1 frowns/grimaces (facial expression).,,,,,,,-fru-,,,,,,,,,,,,,,
fukpi,TRUE,,@1は@2〈対象〉の、@3（媒体／形態）への、@4〈方法〉による複製／コピー／レプリカ／クローン,,@1 is a copy/replica/duplicate/clone of @2 in form/medium @3 made by method @4 (event).,,,,,,,-fuk-   ,-fu'i-,,,,,,,,,,,,,
fulta,TRUE,,@1は@2〈気体・液体〉に浮かぶ；@1は浮遊物である,浮かぶ、浮く、浮遊物,@1 (passive) floats on/in fluid (gas/liquid) @2; @1 is buoyant.,,,,,,,-ful-   ,-flu-,,,,,,,,,,,,,
funca,TRUE,,@1《こと・属性》は@2の運である；@1はまぐれ［めぐり合わせ］である,運、まぐれ、めぐり合わせ,@1 (event/property) is determined by the luck/fortune of @2; (note mabla/zabna not implied).,,,,,,,-fun-   ,-fu'a-,,,,,,,,,,,,,
fusra,TRUE,,@1は@2〈原因〉によって腐敗［発酵］する；@1は腐っている［錆びている］,腐敗、発酵、腐る、錆びる,@1 rots/decays/ferments with decay/fermentation agent @2; @1 is rotten/decayed/fermented.,,,,,,,-fur-,,発酵の場合、 x2 は「酵母」など。 ,,,,,,,,,,,,
fuzme,TRUE,,@1は@2《こと》について@3（断裁／権限）の観点で責任がある,,@1 is responsible/accountable for @2 (action/resulting state) to judge/authority @3.,,,,,,,-fuz-   ,-fu'e-,,,,,,,,,,,,,
gacri,TRUE,,@1は@2の覆い［蓋、カバー］；@1は@2に被さっている,覆い、蓋、カバー、被る、被さる,@1 is a cover/[lid/top] for covering/concealing/sheltering @2.,,,,,,,-gai-,,「仮面」なども。 ,,,,,,,,,,,,
gadri,TRUE,,@1は@2〈修飾対象〉@3〈言語〉@4〈意味・機能〉の冠詞である,冠詞,@1 is an article/descriptor labelling description @2 (text) in language @3 with semantics @4.,,,,,,,-gad-,,,,,,,,,,,,,,
galfi,TRUE,,@1は@2を@3に改変する［変える］,改変、変える,@1 (event) modifies/alters/changes/transforms/converts @2 into @3.,,,,,,,-gaf-   ,-ga'i-,「cenba」と違い、他動的で、結果が含意される。 ,,,,,,,,,,,,
galtu,TRUE,,@1は@2から見ると@3〈基点〉において高い,高い,@1 is high/up/upward in frame of reference @2 as compared with baseline/standard height @3.,,,,,,,-gal-   ,-ga'u-,,,,,,,,,,,,,
galxe,TRUE,身体、部位,@1は@2〈本体〉の喉［咽喉、食道］である,喉、咽喉、食道,@1 is a/the throat/gullet [body-part] of @2; [metaphor: narrow(ing) opening of a deep hole].,,,,,,,,,,,,,,,,DD,もの,もの,-,-,-
ganlo,TRUE,,@1は@2〈到達されないもの・所〉にたいして@3〈通過を妨げられているもの〉にとって閉まっている；@1は@3が@2へ達することを妨げる,閉まる、閉鎖、妨げる,"@1 (portal/passage/entrance-way) is closed/shut/not open, preventing passage/access to @2 by @3 (something being blocked).",,,,,,,-ga'o-,,@1はドアなどのほか、半透膜も。 ,,,,,,,,,,,,
ganra,TRUE,,@1は@2〈次元〉@3〈基準〉において広い［幅がある、ワイドである］,広い、幅広、幅,@1 is broad/wide in dimension @2 [2nd most significant dimension] by standard @3.,,,,,,,-gan-,,,,,,,,,,,,,,
ganse,TRUE,,@1〈者〉は@2《属性》を@3〈手段〉によって@4〈環境条件〉のもと感知［感得］する、感じ取る；@1は@2にたいして敏感［センシティブ］である,感知、感得、感じ取る、敏感、センシティブ,@1 [observer] senses/detects/notices stimulus @2 (object/nu) by means @3 under conditions @4.,,,,,,,-gas-   ,-ga'e-,,,,,,,,,,,,,
ganti,TRUE,身体、部位,@1は@2〈本体〉@3〈性別〉の睾丸［精巣、卵巣、子房、陰嚢、生殖腺、性腺、雄蕊、雌蕊］である,睾丸、精巣、卵巣、子房、陰嚢、生殖腺、性腺、雄ずい、雄しべ、雌ずい、雌しべ、雄蕊、雌蕊,"@1 is a/the testes/ovary/testicle/scrotum/balls/gonad/stamen/pistil [body-part] of @2, gender @3.",,,,,,,,,,,,,,,,DD,もの,もの,-,-,-
ganxo,TRUE,身体、部位,@1は@2〈本体〉の肛門である,肛門,"@1 is a/the anus/anal orifice/asshole/arsehole [body-part] of @2; [metaphor: exit, waste exit].",,,,,,,-gax-,,比喩的に「出口」としても表します。,,,,,,,DD,もの,もの,-,-,-
ganzu,TRUE,,@1は@2を@3に@4（原理）に基づいて組織［編成、整頓］する,組織、編成、整頓,@1 organizes @2 [relative chaos] into @3 [ordered/organized result] by system/principle(s) @4.,,,,,,,-gaz-,,x2 は組織化以前のばらばらなもの。 x3 は組織化以後の体系的なもの。 ,,,,,,,,,,,,
gapci,TRUE,,@1は@2〈成分〉@3〈条件〉の気体である,気体、ガス,"@1 is gaseous/fumes/a gas/vapor of material/composition including @2, under conditions @3.",,,,,,,-gac-,,x3は温度／圧力など。 ,,,,,,,,,,,,
gapru,TRUE,位置関係、方向,@1は@2に対して@3から見ると上方［上側］にある［いる］,上、↑,@1 is directly/vertically above/upwards-from @2 in gravity/frame of reference @3.,,,,,,,-gap-,,x3は重力など。,,,,,,,DDD,もの,もの,もの,-,-
garna,TRUE,,@1は@2を支える［抑える］@3〈素材〉のレール［線路、横木、手すり、軌条、バー］である,レール、線路、横木、手すり、軌条、バー,"@1 is a rail/railing/bar [tool] supporting/restraining @2, of material @3.",,,,,,,-gar-,,,,,,,,,,,,,,
gasnu,TRUE,,@1は@2《こと》をする,する,@1 [person/agent] is an agentive cause of event @2; @1 does/brings about @2.,,,,,,,-gau-,,{zukte}が意志に基づき目的を見据えた振舞いであるのに対し、{gasnu}は単に行動の主体性を表します。,,,,,,,FF,こと,こと,-,-,-
gaspo,FALSE,,@1pertains to Gua\\spi language/culture in aspect x/2,,@1 pertains to Gua\\spi language/culture in aspect @2,,,,,,,,,,,,,,,,,,,,,
gasta,TRUE,,@1は@2〈成分〉の鋼鉄［はがね］である,鋼鉄、鋼、はがね,@1 is a quantity of/is made of/contains steel of composition including @2.,,,,,,,-gat-,,,,,,,,,,,,,,
genja,TRUE,,@1は@2〈植物・種類〉の根［地下茎］である,根、根っこ、地下茎,"@1 is a root [body-part] of plant/species @2; [metaphor: immobile, supporting, nourishing].",,,,,,,-gej-,,比喩的に「（髪／舌／歯／指などの）付け根」「ねじ山」「始祖」も。 ,,,,,,,,,,,,
gento,TRUE,地域,@1は@2《属性》に関してアルゼンチン的［らしい、っぽい、風］；@1は@2《属性》に関してアルゼンチン系の言語［文化、民族、国民性、地理など］を反映している、満たしている,アルゼンチン,@1 reflects Argentinian culture/nationality in aspect @2.,,,,,,,-get-   ,-ge'o-,,,,,,,,DC,D,C,-,-,-
genxu,TRUE,もの、@2が素材,@1は@2〈素材〉の鉤［留め金、ホック］である,鉤、留め金、ホック,@1 is a hook/crook [shape/form] of material @2.,,,,,,,-gex-,,,,,,,,,DD,もの,もの,-,-,-
gerku,TRUE,生物、動物,@1は@2〈種類〉のイヌ科の動物である,犬、オオカミ、イエイヌ、コヨーテ、ジャッカル、リカオン、タヌキ、キツネ,@1 is a dog/canine/[bitch] of species/breed @2.,,,,,,,-ger-   ,-ge'u-,,,,,,＜下痢で苦しむ＞狗,2,DD,もの,もの,-,-,-
gerna,TRUE,,@1は@2〈言語〉の@3《属性》に関する文法である,文法,@1 is the grammar/rules/defining form of language @2 for structure/text @3.,,,,,,,-gen-   ,-ge'a-,「係り結び（x1）は古典日本語（ x2 ）の係助詞（ x3 ）に関する文法」。 ,,,,,下痢になる,,,,,,,
gidva,TRUE,,@1《もの・こと》は@2〈者〉を@3《こと》について案内する,案内,@1 (person/object/event) guides/conducts/pilots/leads @2 (active participants) in/at @3 (event).,,,,,,,-gid-   ,-gi'a-,x1は案内者だが、 x2 の行動を制限／支配する指揮者（jatna）とは区別される。,,,,,,,,,,,,
gigdo,TRUE,SI接頭辞,@1は@3［≜単位］《属性》においてギガ［10⁹］個（分）の@2である,ギガ、㌐、十億、G、億、1000000000,@1 is a billion [British milliard] [10^9] of @2 in dimension/aspect @3 (default is units).,,,,,,,-gig-   ,-gi'o-,,,,,,,,,,,,,
ginka,TRUE,,@1は@2（居住者）・@3〈所〉の野営［キャンプ、仮設住居］である,野営、キャンプ、仮設住居,@1 is a camp/encampment/temporary residence of @2 at location @3.,,,,,,,-gik-,,一時的な住居全般。 ,,,,,,,,,,,,
