セルマホ,cmavo,種類,タグ,機能語,キーワード,原文,rafsi,rafsi2,語法,文法,使用例,語源,ロジバンたんのメモ,覚え方
GA*,gonai,複合cmavo,,排他的論理和（XOR） ： 接続詞（論理・前置・sumti/bridi/文）； 前部と後部はどちらかだけ真； 後部は gi で繋ぐ,,logical connective: forethought all but tanru-internal exclusive or (with gi); Latin 'aut'.,,,・読み方： ゴナイ,,,,,
GAhO,ga'o,標準,,包含間隔 ： 合間を表す bi'i や bi'o の左か右に付いて、その側の sumti が間隔範疇に含まれることを表す； 含まれないのを表すのは ke'i； 「A ga'obi'ike'i B／A（含む）からB（含まない）まで」,,closed interval bracket marker; mod. intervals in non-logical connectives; include boundaries.,,,・読み方： ガホ,,,,,
GAhO,ke'i,標準,,除外間隔 ： 合間を表す bi'i や bi'o の左か右に付いて、その側の sumti が間隔範疇に含まれないことを表す； 含まれるのを表すのは ga'oi； 「A ga'obi'ike'i B／A（含む）からB（含まない）まで」,,open interval bracket marker; modifies intervals in non-logical connectives; exclude boundaries.,,,・読み方： ケヒ,,,,,
GAhUhAU,ga'u'au,非標準,,mekso n-ary operator: append contravariant (upper) indices to tensor,,mekso n-ary operator: append contravariant (upper) indices to tensor,,,"Terminated by {te'oi'oi}. Takes ordered input (A, X_1, X_2, …, X_(n-1)), where A is a tensor and X_i is an index with an understood (or elsewhere defined) ordered domain. It appends/assigns X_i to be the ith contravariant index of A, which is usually designated as a superscript in the ith position to the right of A. See also: {ni'a'au}. It is probable that Einstein summation notation will be conventionally in effect.",,,,,
GAhUhAU,ni'a'au,非標準,,mekso n-ary operator: append covariant (lower) indices to tensor,,mekso n-ary operator: append covariant (lower) indices to tensor,,,"Terminated by {te'oi'oi}. Takes ordered input (A, X_1, X_2, …, X_(n-1)), where A is a tensor and X_i is an index with an understood (or elsewhere defined) ordered domain. It appends/assigns X_i to be the ith covariant index of A, which is usually designated as a subscript in the ith position to the right of A. See also: {ga'u'au}. It is probable that Einstein summation notation will be conventionally in effect.",,,,,
GEhU,ge'u,標準,,関係句終止 ： 境界詞； GOI類で開かれた関係句の終わりを示す,,elidable terminator: end GOI relative phrases; usually elidable in non-complex phrases.,,,・読み方： ゲフ,,,,,
GEhUhI,ge'u'i,非標準,,elidable terminator for connective modifiers,,elidable terminator for connective modifiers,,,Terminates {noi'i}.,,,,,
GI,gi,標準,,前置型論理接続の中間 ： 接続詞（論理）； GA類で開かれた前置型論理接続において左項と右項を取り繋ぐ,,logical connective: all but tanru-internal forethought connective medial marker.,,,・読み方： ギ,,,,,
GIhA,gi'a,標準,,bridi 論理和（OR）／～や～ ： 接続詞（論理・後置・bridi）； 前部と後部はどちらか或いは共に真,,logical connective: bridi-tail afterthought or.,,,・読み方： ギハ,,,,,
GIhA,gi'e,標準,,bridi 論理積（AND）／～と～ ： 接続詞（論理・後置・bridi）； 前部と後部は共に真であり偽ではない,,logical connective: bridi-tail afterthought and.,,,・読み方： ギヘ,,,,,
GIhA,gi'i,標準,,bridi 接続詞質問 ： 接続詞（論理・後置・bridi）； 前部と後部の論理関係を問う,,logical connective: bridi-tail afterthought conn question.,,,・読み方： ギヒ,,,,,
GIhA,gi'o,標準,,bridi 否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・後置・bridi）； 前部と後部は共に真あるいは共に偽,,logical connective: bridi-tail afterthought biconditional/iff/if-and-only-if.,,,・読み方： ギホ,,,,,
GIhA,gi'u,標準,,bridi ～にかかわらず ： 接続詞（論理・後置・bridi）； 前部は真、後部がどうであるかにかかわらず,,logical connective: bridi-tail afterthought whether-or-not.,,,・読み方： ギフ,,,,,
GIhA*,gi'enai,複合cmavo,,bridi ～だが～ではない ： 接続詞（論理・後置・bridi）； 前部は真で後部は偽,,logical connective: bridi-tail afterthought x but not y.,,,・読み方： ギヘナイ,,,,,
GIhA*,gi'onai,複合cmavo,,bridi 排他的論理和（XOR） ： 接続詞（論理・後置・bridi）； 前部と後部はどちらかだけ真,,logical connective: bridi-tail afterthought exclusive or; Latin 'aut'.,,,・読み方： ギホナイ,,,,,
GIhA*,nagi'a,複合cmavo,,bridi 論理含有／～なら～ ： 接続詞（論理・後置・bridi）； 前部が真なら後部は真；,,logical connective: bridi-tail afterthought conditional/only if.,,,・読み方： ナギハ,,,,,
GIhEI,gi'ei,非標準,,afterthought abstraction wrapper,,afterthought abstraction wrapper,,,"Accepts 'gi'ei LE NU', 'gi'ei NU' (elided LE defaults to {lo}), or 'gi'ei LOhOI'. Wraps the bridi before it within an abstraction. e.g. 'mi klama le zarci gi'ei-le-nu cabna lo nu do klama' = 'le nu mi klama le zarci cu cabna lo nu do klama'. Also see {xoi}, {jai'i}. Grammar note: The {gi'ei}-group acts like a specialized {vau}, grabbing a single bridi. If you are in a sub-bridi of the bridi you wish to convert, you need to close the sub-bridi with {vau}, or use {i'au} to return to the top bridi of the sentence.",,,,,
GOhA,bu'a,標準,,量化型 selbri 変数１ ： 代詞（selbri）； 量化可能な selbri 変数の１つ目,,logically quantified predicate variable: some selbri 1.,-bul-,,「ganai tinbe lo menli gi se bradi .i ganai jinru lo se cinmo gi se fleca'e .i ganai xarnu gi to'e zifre .i ro bu'a zo'u se gu bu'a gi lo prenu cecmu cu se xabju co nandu／智に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。」（漱石『草枕』） ・大意： 某 selbri 一 ・読み方： ブハ ・関連語： {broda},,,,,
GOhA,bu'e,標準,,量化型 selbri 変数２ ： 代詞（selbri）； 量化可能な selbri 変数の２つ目,,logically quantified predicate variable: some selbri 2.,,,・読み方： ブヘ,,,,,
GOhA,bu'i,標準,,量化型 selbri 変数３ ： 代詞（selbri）； 量化可能な selbri 変数の３つ目,,logically quantified predicate variable: some selbri 3.,,,・読み方： ブヒ,,,,,
GOhA,cei'i,非標準,,pro-bridi: the universal predicate,,pro-bridi: the universal predicate,,,"See also: {zai'o} (pro-sumti; empty), {gai'o} (pro-bridi; empty), {mai'i} (pro-sumti; universal), {ctaipe}.",,,,,
GOhA,co'e,標準,,不特定 selbri ： 意味とPSが不特定の selbri を表す； tanru も形成できる,,elliptical/unspecified bridi relationship.,-com-   ,-co'e-,・大意： 不特定 selbri ・読み方： ショヘ ・語呂合わせ： 書へ,,,,,
GOhA,du,標準,,同一 ： 同一性を表す； x_1 は x_2 ・ x_3 ・・・と同一,,"identity selbri; = sign; x_1 identically equals x_2, x_3, etc.; attached sumti refer to same thing.",-dub-   ,-du'o-,"感覚上はほぼコピュラに相当する。 「ta du lo nanmu poi mi pu tavla／あれは私が話した男（と同一）だ」。 ・大意： 同一 ・読み方： ドゥ  ・語呂合わせ： 同一のドゥ ・関連語： {mintu}, {dunli}",,,,,
GOhA,gai'o,非標準,,pro-bridi: the empty predicate,,pro-bridi: the empty predicate,,,"See also: {zai'o} (pro-sumti; empty), {mai'i} (pro-sumti; universal), {cei'i} (pro-bridi; universal), {ctaipe}.",,,,,
GOhA,go'a,標準,,さきほどの bridi ： 代詞（bridi）； 通常は最後２つよりも前のもの,,pro-bridi: repeats a recent bridi (usually not the last 2).,,,・読み方： ゴハ,,,,,
GOhA,go'e,標準,,最後から２番目の bridi ： 代詞（bridi）；,,pro-bridi: repeats the next to last bridi.,,,・読み方： ゴヘ,,,,,
GOhA,go'i,標準,,いましがたの bridi ： 代詞（bridi）； bridi による質問にたいする返答として用いる場合、その bridi を復唱するかたちで肯定を表す,,"pro-bridi: preceding bridi; in answer to a yes/no question, repeats the claim, meaning yes.",,,・読み方： ゴヒ,,,,,
GOhA,go'o,標準,,のちほどの bridi ： 代詞（bridi）； 通常は次の bridi,,"pro-bridi: repeats a future bridi, normally the next one.",,,・読み方： ゴホ,,,,,
GOhA,go'u,標準,,以前の bridi ： 代詞（bridi）；,,pro-bridi: repeats a remote past bridi.,,,・読み方： ゴフ,,,,,
GOhA,mo,標準,,bridi 問 ： 代詞（bridi）； bridi/selbri/brivla の代わりに置いて疑問表現を作る,,pro-bridi: bridi/selbri/brivla question.,,,「ca mo／最近どうですか？」 ・読み方： モ,,,,,
GOhA,nei,標準,,この bridi ： 代詞（bridi）； 現在の発話における bridi を再利用する,,pro-bridi: repeats the current bridi.,,,・読み方： ネイ,,,,,
GOhA,no'a,標準,,外 bridi ： 代詞（bridi）； 1つ上の階層の bridi を指示する,,pro-bridi: repeats the bridi in which this one is embedded.,,,・読み方： ノハ,,,,,
GOhA,xe'u,非標準,,ラムダ ： 抽象節内において焦点となる selbri の箇所にそのまま代えて置く,,Abstraction variable indicator selbrisle.,,,"第3階以上の述語論理を表現するときに、NU類で作られる抽象節を冠頭に置くために使われる。使用例は {bu'ai} を参照。 ・読み方： クェフ ・関連語： {ce'u}, {bu'ai}.",,,,,
GOhA*,go'ira'o,複合cmavo,,"pro-bridi: preceding bridi; repeats claim as true, updating for speaker/listener change.",,"pro-bridi: preceding bridi; repeats claim as true, updating for speaker/listener change.",,,,,,,,
GOhA*,nago'i,複合cmavo,,selbri: repeats preceding bridi while denying it as false; pro-assign values are unchanged.,,selbri: repeats preceding bridi while denying it as false; pro-assign values are unchanged.,,,,,,,,
GOhOI,bo'ei,非標準,,"single Lojban-word name quote, turns to selbri-unit: ""x_1 is that which has this name""",,"single Lojban-word name quote, turns to selbri-unit: ""x_1 is that which has this name""",,,"Similar to {ze'oi}, but specifically used for names. Convenient for tanru with {brivycme} and grammars with brivla-cmevla merge, to avoid having to wrap a single word up in ""{me} {la} ... {ku}"".",,,,,
GOhOI,go'oi,非標準,,pro-bridi: quotes the next word and repeats the most recent bridi containing that word,,pro-bridi: quotes the next word and repeats the most recent bridi containing that word,,,The quoting rules are the same as {zo}.,,,,,
GOhOI,ze'oi,非標準,,"converts following word to selbri-unit: ""x_1 is related to the meaning of this word in aspect x_2""",,"converts following word to selbri-unit: ""x_1 is related to the meaning of this word in aspect x_2""",,,"Quoting rules are similar to {zo}. Roughly, (ze'oi *coi*) ≈ (me la'e zo *coi* moi). Meant primarily to quote cmavo, to supersede use of {zei} as a way of making ""tanru"" out of cmavo.",,,,,
GOI,goi,標準,,代詞配当 ： 右の代詞を左の sumti に、或いは左の代詞を右の sumti に配当する,,sumti assignment; used to define/assign ko'a/fo'a series pro-sumti; Latin 'sive'.,,,・読み方： ゴイ,,,,,
GOI,ne,標準,,関連 sumti （非制限） ： 関係詞（非制限）； 左の sumti に別の（非同一、しかし関連する） sumti を結びつける,,non-restrictive relative phrase marker: which incidentally is associated with ...,,,・読み方： ネ,,,,,
GOI,no'u,標準,,同一 sumti ： 関係詞（非制限）； 左の sumti と同一の sumti を結びつける,,non-restrictive appositive phrase marker: which incidentally is the same thing as ...,,,・読み方： ノフ,,,,,
GOI,pe,標準,,関連 sumti （制限） ： 関係詞（制限）； 左の sumti が表しうる対象のうち、右の sumti に関連するものだけを特に指定する,,restrictive relative phrase marker: which is associated with ...; loosest associative/possessive.,,,「lo gerku pe lo ta panka／あの公園の犬」 ・読み方： ペ,,,,,
GOI,po,標準,,特有 sumti ： 関係詞（制限）； 左の sumti が右の sumti に特有であることを示す； 一般にいう物理的／法的所有を表す,,restrictive relative phrase marker: which is specific to ...; normal possessive physical/legal.,,,「lo karce po mi／私の車」 ・読み方： ポ,,,,,
GOI,po'e,標準,,従属 sumti ： 関係詞（制限）； 左の sumti が右の sumti に従属することを示す； 分離できない関係を表す,,restrictive relative phrase marker: which belongs to ... ; inalienable possession.,,,「lo rebla po'e lo gerku／犬のシッポ」 ・読み方： ポヘ,,,,,
GOI,po'u,標準,,同一 sumti ： 関係詞（制限）； 左の sumti と同一の sumti を結びつける,,restrictive appositive phrase marker: which is the same thing as.,,,・読み方： ポフ,,,,,
GOI,voi'e,非標準,,"titular possessive: possessive that is part of a name, e.g. ""The Summer of Love"", ""The Wars of the Roses"", ""Zeno of Elea""",,"titular possessive: possessive that is part of a name, e.g. ""The Summer of Love"", ""The Wars of the Roses"", ""Zeno of Elea""",,,"See {voi'i}, {pe}",,,,,
GOI*,pecai,複合cmavo,,restrictive relative phrase marker: permanently / inalienably associated with; it is impossible or near-impossible to break that relation,,restrictive relative phrase marker: permanently / inalienably associated with; it is impossible or near-impossible to break that relation,,,"Proposed as a variation of {po'e} with less semantic-boundary difficulties, while freeing up {po'e} for reassignment in dialects/forks. Most words that the concept of 'inalienable possession' applies to, e.g. {birka}, {mamta}, or even {pendo} in some natlangs, have a convenient {be} place to be used instead with a better-defined meaning. However, this may be used for any relation that is impossible-or-nigh-impossible to break, e.g. the car you worked on and made custom modifications to for years; in a sense, it will still be ""your car"" even if you sold it. {do'e}{cai} could be a variation to associate a bridi or the subject of the bridi, e.g. 'ti karce do'ecai mi'. See also {pesai}, {pe}",,,,,
GOI*,pesai,複合cmavo,,restrictive relative phrase marker: semi-permanently associated to; will remain associated unless something breaks that relation,,restrictive relative phrase marker: semi-permanently associated to; will remain associated unless something breaks that relation,,,"Proposed as a variation of {po} with less semantic-boundary difficulties, while freeing up {po} for reassignment in dialects/forks. Legal ownership is a possible relation; it could also mean, say, the chair assigned to you in an office, which will remain 'your' chair until reassigned, where mere {pe} could just mean the one you're sitting on. {do'e}{sai} could be a variation to associate a bridi or the subject of the bridi, e.g. 'ti stizu do'esai mi'. See {pecai}, {pe}, {ponse}, {po'a}",,,,,
GUhA,gu'a,標準,,tanru 論理和（OR）／～や～ ： 接続詞（論理・前置・tanru）； 前部と後部はどちらか或いは共に真； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought or (with gi).,,,・読み方： グハ,,,,,
GUhA,gu'e,標準,,tanru 論理積（AND）／～と～ ： 接続詞（論理・前置・tanru）； 前部と後部は共に真であり偽ではない； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought and (with gi).,,,・読み方： グヘ,,,,,
GUhA,gu'i,標準,,tanru 接続詞質問 ： 接続詞（論理・前置・tanru）； 前部と後部の論理関係を問う； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought question (with gi).,,,・読み方： グヒ,,,,,
GUhA,gu'o,標準,,tanru 否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・前置・tanru）； 前部と後部は共に真あるいは共に偽； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought biconditional/iff/if-and-only-if (with gi).,,,・読み方： グホ,,,,,
GUhA,gu'u,標準,,tanru ～にかかわらず ： 接続詞（論理・前置・tanru）； 前部は真、後部がどうであるかにかかわらず； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought whether-or-not (with gi).,,,・読み方： グフ,,,,,
GUhA*,gu'anai,複合cmavo,,tanru 論理含有／～なら～ ： 接続詞（論理・前置・tanru）； 前部が真なら後部は真； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought conditional/only if (with gi).,,,・読み方： グハナイ,,,,,
GUhA*,gu'onai,複合cmavo,,tanru 排他的論理和（XOR） ： 接続詞（論理・前置・tanru）； 前部と後部はどちらかだけ真； 後部は gi で繋ぐ,,logical connective: tanru-internal forethought exclusive or (with gi); Latin 'aut'.,,,・読み方： グホナイ,,,,,
I,.i,非標準,,sentence link/continuation; continuing sentences on same topic; normally elided for new speakers.,,sentence link/continuation; continuing sentences on same topic; normally elided for new speakers.,,,= {i} . Added due to the habit of wrapping {.i} up as a link whenever discussing it.,,,,,
I,i,標準,,文境界 ： 境界詞； 文の境界を示す,,sentence link/continuation; continuing sentences on same topic; normally elided for new speakers.,,,他言語の句点やピリオドに相当。 ・読み方： イ,,,,,
IhAU,iau,非標準,,reset bridi-level to zero,,reset bridi-level to zero,,,Shortened variant of {i'au}.,,,,,
IhAU,i'au,非標準,,reset bridi-level to zero,,reset bridi-level to zero,,,"Auto-inserts all necessary terminators to reset to the top-level bridi of the sentence (i.e. everything that {i} would insert except the last {vau}). This is useful if you have opened multiple NU/NOI subclauses, and just want to close them all to add more sumti, terms, or a {xoi} clause to the main bridi without using a bunch of terminators. // May also be used with UI-cmavo. UI-cmavo placed immediately after {i'au} would scope over the entire sentence. This is useful for attaching attitudinals as afterthoughts, without having to close the entire sentence manually with the right number of {vau}s. See {ji'au}, {fu'e}, {fu'o}.",,,,,
JA,ja,標準,,tanru 論理和（OR）／～や～ ： 接続詞（論理・後置・tanru）； 前部と後部のどちらか或いは両が真,,logical connective: tanru-internal afterthought or.,-jav-,,・大意： や ・読み方： ジャ,,,,,
JA,je,標準,,tanru 論理積（AND）／～と～ ： 接続詞（論理・後置・tanru）； 前部と後部は共に真,,logical connective: tanru-internal afterthought and.,-jev-   ,-jve-,・大意： と／かつ／そして ・読み方： ジェ,,,,,
JA,je'i,標準,,tanru 接続詞質問 ： 接続詞（論理・後置・tanru）； 前部と後部の論理関係を問う,,logical connective: tanru-internal afterthought conn question.,,,「lo xalka cu pe'a selklaku je'i kau cniselva'u .i ju'o naje／酒は涙か溜息か、――たしかに溜息だよ。」（山頭火『行乞記（二）』） ・読み方： ジェヒ,,,,,
JA,jo,標準,,tanru 否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・後置・tanru）； 前部と後部は共に真あるいは共に偽,,logical connective: tanru-internal afterthought biconditional/iff/if-and-only-if.,-jov-,,・大意： ～のときだけ ・読み方： ジョ,,,,,
JA,ju,標準,,tanru ～にかかわらず ： 接続詞（論理・後置・tanru）； 前部は真、後部がどうであるかにかかわらず,,logical connective: tanru-internal afterthought whether-or-not.,-juv-,,・大意： ～にかかわらず ・読み方： ジュ,,,,,
JA*,ija,複合cmavo,,文論理和（OR）／～や～ ： 接続詞（論理・後置・文）； 左部と右部はどちらか或いは共に真,,logical connective: sentence afterthought or.,,,・読み方： イジャ,,,,,
JA*,ijanai,複合cmavo,,文論理含有／～なら～ ： 接続詞（論理・後置・文）； 前部は真、後部が真なら,,logical connective: sentence afterthought: (preceding sentence) if this sentence.,,,・読み方： イジャナイ,,,,,
JA*,ije,複合cmavo,,文論理積（AND）／～と～ ： 接続詞（論理・後置・文）； 前部と後部は共に真,,logical connective: sentence afterthought and.,,,「gau zgitigni .ije sanga／ひかせてうたつてゐる」（山頭火『行乞記（二）』） ・読み方： イジェ,,,,,
JA*,ije'i,複合cmavo,,文接続詞質問 ： 接続詞（論理・後置・文）； 前部と後部の論理関係を尋ねる,,logical connective: sentence afterthought conn question.,,,・読み方： イジェヒ,,,,,
JA*,ijenai,複合cmavo,,文 ～だが～ではない ： 接続詞（論理・後置・文）； 前部は真で、後部は偽,,logical connective: sentence afterthought x but not y.,,,・読み方： イジェナイ,,,,,
JA*,ijo,複合cmavo,,文否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・後置・文）； 前部と後部は共に真あるいは共に偽,,logical connective: sentence afterthought biconditional/iff/if-and-only-if.,,,・読み方： イジョ,,,,,
JA*,ijonai,複合cmavo,,文排他的論理和（XOR） ： 接続詞（論理・後置・文）； 前部と後部はどちらかだけ真,,logical connective: sentence afterthought exclusive or; Latin 'aut'.,,,・読み方： イジョナイ,,,,,
JA*,iju,複合cmavo,,文 ～にかかわらず ： 接続詞（論理・後置・文）； 前部は真、後部がどうかにかかわらず,,logical connective: sentence afterthought whether-or-not.,,,・読み方： イジュ,,,,,
JA*,inaja,複合cmavo,,文論理含有／～なら～ ： 接続詞（論理・後置・文）； 前部が真なら後部は真,,logical connective: sentence afterthought conditional/only if.,,,「to'u ja'o tcima xamgu .inaja lo jikcre cu se sidju／とにかくお天気ならば世間師は助かる」（山頭火『行乞記（二）』） ・読み方： イナジャ,,,,,
JA*,jenai,複合cmavo,,tanru ～だが～ではない ： 接続詞（論理・後置・tanru）； 前部は真で後部は偽,,logical connective: tanru-internal afterthought x but not y.,,,・読み方： ジェナイ,,,,,
JA*,jonai,複合cmavo,,tanru 排他的論理和（XOR） ： 接続詞（論理）； 前部と後部はどちらかだけ真,,logical connective: tanru-internal afterthought exclusive or; Latin 'aut'.,,,・読み方： ジョナイ,,,,,
JA*,naja,複合cmavo,,tanru 論理含有／～なら～ ： 接続詞（論理・後置・tanru）； 前部が真なら後部は真；,,logical connective: tanru-internal afterthought conditional/only if.,,,・読み方： ナジャ,,,,,
JAhOI,fau'au,非標準,,"two-tier function map/assignment writer notation: X1 (ordered list, no repetitious terms) maps termwise-respectively to X2 (ordered list; may be repetitious but must have exactly as many terms as X1)",,"two-tier function map/assignment writer notation: X1 (ordered list, no repetitious terms) maps termwise-respectively to X2 (ordered list; may be repetitious but must have exactly as many terms as X1)",,,"So named because, in mathematical notation, the domain set of the function is written down in some order in its entirety and then, below it, the range of the function is written so that each image and preimage line up vertically with their appropriate/respective partner. Really useful when mapping from a countable set/object that is either human-small or in which the pattern is clear. Occasionally used for a more explicit form of notation for permutations (in which cycle decomposition is not necessarily as evident, but the structure as a how is, at least, explicit). The ith term of X1 is mapped to the ith term of X2; there is no knowledge of what happens to any value that is not term of list X1.  Useful for lambda calculus.",,,,,
JAhOI,ja'oi,非標準,,permutation cycle writer notation start,,permutation cycle writer notation start,,,"Basically like {jo'i}, but for cycles. Use {boi} in order to separate terms.  Terminated by {tei'u}. In this notation, each term maps to the the subsequent term as read from left to right or heard in chronological order of utterance; the last term (immediately before {tei'u}) maps to the first term. The object constructed is a cyclic permutation, a group element. The singleton cycle is identity on that term. It can be applied to a single element among its terms or may left group act upon a set or structure, or an element if the application is not directly upon it (such as when the application is to an index or variable of that element). Permutations are composed when viewed from outside of their group structure and have the group operator act upon them when within that context. The transposition (1  2) is expressed as ' li ja'oi pa boi re tei'u '. See also: {tei'u}, {ma'o'e}, {gu'ai}, {ru'ei}, {fa'ai}.",,,,,
JAI,ja'ei,非標準,,jai equivalent of la'e,,jai equivalent of la'e,,,tu'a:jai::la'e:ja'ei. So ko'a ja'ei broda equals la'e ko'a broda,,,,,
JAI,jai,標準,,付辞項辞転換 ： 通常は間制や法制の一部として使う項を項辞 x_1 として使えるようにする； 本来の x_1 は不特定の項位置に移る（この項位置を明示して本来の x_1 を再利用するには fai を使う； x_1 に持ってくる付辞の種類を特定する場合は該当する間制や法制を jai の後に加える,,convert tense/modal (tagged) place to 1st place; 1st place moves to extra FA place (fai).,-jax-,,「lo nunkla jaica lerci／来る時間が遅い」 「ko'e jai nabmi = 彼は問題だ」、本来は人が何かをすることや何かであることが問題なのであり、人そのものは問題となれない。「lo jai cerni clira cu jipci je verba／朝早いのは鶏と子供だ」（山頭火『行乞記（二）』） ・読み方： ジャイ ・関連語： {fai},,,,,
JAIhA,jai'a,非標準,,grammatically converts LAhE to SE; semantically the result tags the x_1 of the selbri as being LAhE the supplied x_1. Can be converted to other than x_1 with SE.,,grammatically converts LAhE to SE; semantically the result tags the x_1 of the selbri as being LAhE the supplied x_1. Can be converted to other than x_1 with SE.,,,Cf. {jai} in the TAG sense. Note that {jai} in the non-TAG sense is the same as jai'a tu'a. Example usage: lo tadni cu jai'a lu'o sruri lo dinju gi'e krixa <-> loi tadni cu sruri lo dinju gi'e jai'a lu'a krixa <-> loi tadni cu sruri lo dinju .ije lu'a lo go'i cu krixa,,,,,
JAIhI,jai'i,非標準,,"takes NU or LE NU, turns into sumtcita: clarifies the semantic NU-type of the current bridi.",,"takes NU or LE NU, turns into sumtcita: clarifies the semantic NU-type of the current bridi.",,,"'mi jai'i li'i klama lo zarci', 'jai'i li'i ku mi klama lo zarci', and 'mi klama lo zarci jai'i li'i' are all acceptable and equivalent. Implies '(zo'e) li'i mi klama lo zarci', but avoids wrapping the bridi in an abstraction that makes its sumti hard to access via {le} {go'i} etc. Tagged sumti, if present, fills the x_2 of the NU; e.g. 'jai'i li'i do mi klama lo zarci' implies 'fe do li'i mi klama lo zarci'",,,,,
JOhI,jo'i,標準,,配列 ： MEX（数式）の演算子を結合して配列にする,,join mathematical expression (mex) operands into an array.,,,・読み方： ジョヒ,,,,,
JOI,ce,標準,,〜と／そして〜 ： 接続詞（非論理・sumti/selbri）； 無順序の繋がりを示し、集合を形成する,,"non-logical connective: set link, unordered; ""and also"", but forming a set.",-cec-,,"・大意： ～とセットで ・読み方： シェ ・語呂合わせ： ～とシェットで ・関連語： {cmima}, {ce'o}",,,,,
JOI,ce'o,標準,,~と~が連続して（順序あり） ： 接続詞（非論理・sumti/selbri）； 順序の伴う連続を表す,,"non-logical connective: ordered sequence link; ""and then"", forming a sequence.",-ce'o-,,"「~、それから~」 ・大意： ～と連続して ・読み方： シェホ ・関連語： {porsi}, {ce}",,,,,
JOI,ce'oi,非標準,,argument list separator: acts as a comma between arguments in an argument list supplied to a function.,,argument list separator: acts as a comma between arguments in an argument list supplied to a function.,,,"ce'oi is the word of choice to separate the arguments in bridi_3. Using {ce'o} there has obvious limitations when the selbri actually calls for a sequence. Obviously, ce'oi has issues too if the selbri can accept an argument list, but this can be circumvented more readily with {ke}...{ke'e} brackets than it can with {ce'o}. Consider "".i lo ka broda cu selbri fi ko'a ce'o ko'e"". Without inspecting the type requirements of {broda} and the respective types of {ko'a} and {ko'e}, one cannot determine the meaning of the {bridi}. Furthermore, if one accepts non-static typing of {sumti} places, multiple correct answers can be given for a question asking what is the bridi_1. This would create ambiguity that is otherwise resolved by ""ce'oi"". See also {ka}, {du'u}, {me'au}",,,,,
JOI,fa'u,標準,,それぞれ ： 接続詞（非論理・sumti/selbri）； A fa'u B broda X fa'u Z で「AとBがそれぞれXとZをbrodaする」,,non-logical connective: respectively; unmixed ordered distributed association.,,,・読み方： ファフ,,,,,
JOI,fa'u'ai,非標準,,non-logical connective: antirespectively; unmixed but reverse ordered distributed association.,,non-logical connective: antirespectively; unmixed but reverse ordered distributed association.,,,"Works together with {fa'u}; given an ordering by {fa'u}, the terms connected by this word are (applied) in opposite order.",,,,,
JOI,jo'e,標準,,和集合 ： 接続詞（非論理・sumti/selbri）； 左右の集合の和を表す,,non-logical connective: union of sets.,-jom-,,・大意： 和集合 ・読み方： ジョヘ,,,,,
JOI,jo'ei,非標準,,nonlogical connective: disjoint union,,nonlogical connective: disjoint union,,,,,,,,
JOI,jo'ei'i,非標準,,nonlogical connective (and mekso operator) - symmetric difference of sets,,nonlogical connective (and mekso operator) - symmetric difference of sets,,,'X1 jo'ei'i X2' is equivalent to 'X1 kei'i X2 jo'ei X2 kei'ibo X1'. Analogous to .{onai} (logical XOR).,,,,,
JOI,joi,標準,,一緒（混合） ： 接続詞（非論理・sumti/selbri）； 事物や性質が混合的に一緒であることを表す； 数学的群を形成する,,"non-logical connective: mixed conjunction; ""and"" meaning ""mixed together"", forming a mass.",-jol-   ,-joi-,「mi joi ko'o bevri lo pipno／私と彼女が一緒にピアノを運ぶ」 ・大意： 一緒に（混合） ・読み方： ジョイ,,,,,
JOI,joi'au'a,非標準,,non-logical connective: to be in a (nontrivial) superposition of (states); mixture,,non-logical connective: to be in a (nontrivial) superposition of (states); mixture,,,"Schrödinger's cat is not 'dead and alive' nor is it 'dead and alive'; so long as its wavefunction does not collapse, it is in a (linear) nontrivial superposition of the states 'dead' and 'alive'. In a sense, it is in both but also neither. Likewise, someone travelling northwestward is not travelling (due) northward AND (due) westward, nor are they travelling (due) northward OR (due) westward; they are travelling a mixture of both. It can also be used for answering ""yes""/""no"" questions; it may or may noy be helpful in this role, but it is distinct from an elliptical or non-definitive answer. Waves especially work well with superpositions. The only decent way to denote this concept in English without resorting to long-winded roundabout descriptions is '+'.",,,,,
JOI,jo'u,標準,,一緒（非混合） ： 接続詞（非論理・sumti/selbri）；,,non-logical connective: in common with; along with (unmixed).,-jo'u-,,・大意： 一緒に（非混合） ・読み方： ジョフ,,,,,
JOI,ju'e,標準,,不特定非論理接続詞 ： 接続詞（非論理・sumti/selbri）； 要素間の不特定な繋がりを表す,,"vague non-logical connective: analogous to plain "".i"".",,,・読み方： ジュヘ,,,,,
